playerName,freeThrowsMade,points,plusMinusPoints,fieldGoalsMade,PER,turnovers,USG%,gamesPlayed,reboundsDefensive,minutes,assists,Actual_AllStar,Predicted_AllStar,Prediction_Confidence
Brandan Wright,7,49,16,18,11.46368204283361,7,20.91178060365192,29,14,121.4,8,0,0,0.0
Luke Walton,69,758,-369,270,10.166150703375273,76,16.347022068323568,82,218,2153.9,99,0,0,0.0
Kai Jones,68,350,-9,130,14.958551745733512,59,31.004154090257,19,104,638.7,40,0,0,1.7
Malachi Richardson,31,165,-6,67,12.46753831417624,29,12.162988194671271,82,87,626.4,12,0,0,0.0
Julyan Stone,2,22,-38,10,8.344197447951643,2,9.210892202730518,42,18,148.9,2,0,0,0.0
Wes Iwundu,34,205,1,72,8.228818998716301,40,13.698498714859229,82,105,856.9,45,0,0,0.0
Mike Scott,1,7,-20,3,1.146107382550336,3,9.340714046032474,5,4,44.7,0,0,0,0.0
Malik Beasley,2,24,-16,11,3.7501470588235297,8,19.303202982884592,36,9,81.6,2,0,0,0.0
Jeremiah Martin,40,328,6,129,11.354253458277556,27,13.689258461657476,77,159,1120.5,33,0,0,0.0
Seth Lundy,25,201,47,88,16.99414226804124,31,19.07337885365256,34,112,485.0,14,0,0,0.0
Chimezie Metu,29,201,-96,86,17.676466252909226,35,17.75553775337699,59,105,515.6,32,0,0,0.0
David Lee,95,1140,222,420,19.18924142001089,97,19.94792924409573,76,209,2202.8,221,0,0,4.19
Paul Reed,3,22,-7,9,9.139620689655173,2,10.184481449553898,7,9,116.0,10,0,0,0.0
Brandon Boston Jr.,69,414,137,146,13.092747842118497,60,16.6865684334205,65,82,1193.3,107,0,0,0.0
LaMarcus Aldridge,137,1105,-275,483,21.991150078857803,152,22.49084137273539,81,770,2409.4,90,0,0,22.16
Jusuf Nurkic,143,751,26,248,14.250083309719468,68,19.31830125211269,66,132,1764.5,164,0,0,0.0
Kyle Guy,112,837,-130,349,20.271626546681663,139,21.411755913622,60,165,1778.0,341,0,0,1.1
Goga Bitadze,27,156,-25,54,12.17622893258427,14,14.471427926415316,31,54,427.2,14,0,0,0.0
Precious Achiuwa,252,1098,-24,423,21.345169380497858,149,24.01897528230184,71,475,2137.2,142,0,0,11.8
Reggie Jackson,13,57,-33,22,17.482881062355656,9,14.969738527888316,66,35,173.2,3,0,0,0.0
